Spec:;
FinishDate:;16.01.2021 22:10:40

;SetPoint;Timestamp;ReferenceValue;DUT value
SET;0,0000;;-0,0800;-0,0625
IPP;;16.01.2021 19:58:11;-0,0800;-0,0625
IPP;;16.01.2021 19:58:11;-0,0800;-0,0625
IPP;;16.01.2021 19:58:15;-0,0800;-0,0625
IPP;;16.01.2021 19:58:15;-0,0800;-0,0625
IPP;;16.01.2021 19:58:19;-0,0800;-0,0625
IPP;;16.01.2021 19:58:19;-0,0800;-0,0625
IPP;;16.01.2021 19:58:23;-0,0800;-0,0625
IPP;;16.01.2021 19:58:23;-0,0800;-0,0625
IPP;;16.01.2021 19:58:26;-0,0800;-0,0625
IPP;;16.01.2021 19:58:26;-0,0800;-0,0625
IPP;;16.01.2021 19:58:30;-0,0800;-0,0625
IPP;;16.01.2021 19:58:30;-0,0800;-0,0625
IPP;;16.01.2021 19:58:34;-0,0800;-0,0625
IPP;;16.01.2021 19:58:34;-0,0800;-0,0625
IPP;;16.01.2021 19:58:38;-0,0800;-0,0625
SET;20,0000;;20,1500;19,8125
IPP;;16.01.2021 20:24:42;20,1500;19,8125
IPP;;16.01.2021 20:24:42;20,1500;19,8125
IPP;;16.01.2021 20:24:46;20,1500;19,8125
IPP;;16.01.2021 20:24:46;20,1500;19,8125
IPP;;16.01.2021 20:24:50;20,1500;19,8125
IPP;;16.01.2021 20:24:50;20,1500;19,8125
IPP;;16.01.2021 20:24:54;20,1500;19,8125
IPP;;16.01.2021 20:24:58;20,1500;19,8125
IPP;;16.01.2021 20:24:58;20,1500;19,8125
IPP;;16.01.2021 20:25:02;20,1500;19,8125
IPP;;16.01.2021 20:25:02;20,1500;19,8125
IPP;;16.01.2021 20:25:06;20,1500;19,8125
IPP;;16.01.2021 20:25:06;20,1500;19,8125
IPP;;16.01.2021 20:25:09;20,1500;19,8125
IPP;;16.01.2021 20:25:09;20,1500;19,8125
SET;40,0000;;40,2300;39,7500
IPP;;16.01.2021 20:52:01;40,2300;39,7500
IPP;;16.01.2021 20:52:05;40,2300;39,7500
IPP;;16.01.2021 20:52:05;40,2300;39,7500
IPP;;16.01.2021 20:52:09;40,2300;39,7500
IPP;;16.01.2021 20:52:09;40,2300;39,7500
IPP;;16.01.2021 20:52:13;40,2300;39,7500
IPP;;16.01.2021 20:52:17;40,2300;39,7500
IPP;;16.01.2021 20:52:17;40,2300;39,7500
IPP;;16.01.2021 20:52:21;40,2300;39,7500
IPP;;16.01.2021 20:52:21;40,2300;39,7500
IPP;;16.01.2021 20:52:24;40,2300;39,7500
IPP;;16.01.2021 20:52:24;40,2300;39,7500
IPP;;16.01.2021 20:52:28;40,2300;39,7500
IPP;;16.01.2021 20:52:28;40,2300;39,7500
IPP;;16.01.2021 20:52:32;40,2300;39,7500
SET;60,0000;;60,0500;59,6958
IPP;;16.01.2021 21:18:09;60,0500;59,6875
IPP;;16.01.2021 21:18:13;60,0500;59,6875
IPP;;16.01.2021 21:18:13;60,0500;59,6875
IPP;;16.01.2021 21:18:17;60,0500;59,6875
IPP;;16.01.2021 21:18:17;60,0500;59,6875
IPP;;16.01.2021 21:18:21;60,0500;59,6875
IPP;;16.01.2021 21:18:21;60,0500;59,6875
IPP;;16.01.2021 21:18:25;60,0500;59,6875
IPP;;16.01.2021 21:18:25;60,0500;59,6875
IPP;;16.01.2021 21:18:29;60,0500;59,6875
IPP;;16.01.2021 21:18:29;60,0500;59,6875
IPP;;16.01.2021 21:18:32;60,0500;59,7500
IPP;;16.01.2021 21:18:32;60,0500;59,7500
IPP;;16.01.2021 21:18:36;60,0500;59,6875
IPP;;16.01.2021 21:18:36;60,0500;59,6875
SET;80,0000;;80,1600;79,6792
IPP;;16.01.2021 21:43:29;80,1600;79,6875
IPP;;16.01.2021 21:43:33;80,1600;79,6875
IPP;;16.01.2021 21:43:33;80,1600;79,6875
IPP;;16.01.2021 21:43:37;80,1600;79,6250
IPP;;16.01.2021 21:43:37;80,1600;79,6250
IPP;;16.01.2021 21:43:41;80,1600;79,6875
IPP;;16.01.2021 21:43:41;80,1600;79,6875
IPP;;16.01.2021 21:43:45;80,1600;79,6875
IPP;;16.01.2021 21:43:45;80,1600;79,6875
IPP;;16.01.2021 21:43:49;80,1600;79,6875
IPP;;16.01.2021 21:43:49;80,1600;79,6875
IPP;;16.01.2021 21:43:53;80,1600;79,6875
IPP;;16.01.2021 21:43:57;80,1600;79,6875
IPP;;16.01.2021 21:43:57;80,1600;79,6875
IPP;;16.01.2021 21:44:00;80,1600;79,6875
SET;100,0000;;100,2400;99,6250
IPP;;16.01.2021 22:10:07;100,2400;99,6250
IPP;;16.01.2021 22:10:10;100,2400;99,6250
IPP;;16.01.2021 22:10:10;100,2400;99,6250
IPP;;16.01.2021 22:10:14;100,2400;99,6250
IPP;;16.01.2021 22:10:14;100,2400;99,6250
IPP;;16.01.2021 22:10:18;100,2400;99,6250
IPP;;16.01.2021 22:10:18;100,2400;99,6250
IPP;;16.01.2021 22:10:22;100,2400;99,6250
IPP;;16.01.2021 22:10:22;100,2400;99,6250
IPP;;16.01.2021 22:10:26;100,2400;99,6250
IPP;;16.01.2021 22:10:26;100,2400;99,6250
IPP;;16.01.2021 22:10:30;100,2400;99,6250
IPP;;16.01.2021 22:10:30;100,2400;99,6250
IPP;;16.01.2021 22:10:34;100,2400;99,6250
IPP;;16.01.2021 22:10:34;100,2400;99,6250
