SetPoint;Chamber;Ref;DUT
17.01.2021 17:44:01;NaN;21,828;21,91;21,7866144200627
17.01.2021 17:44:05;NaN;21,83;21,91;21,7866144200627
17.01.2021 17:44:08;NaN;21,833;21,91;21,7866144200627
17.01.2021 17:44:12;NaN;21,835;21,91;21,7866144200627
17.01.2021 17:44:16;25;21,837;21,92;21,7866144200627
17.01.2021 17:44:20;25;21,85;21,92;21,8495611285266
17.01.2021 17:44:24;25;22,05;21,93;21,8495611285266
17.01.2021 17:44:28;25;22,534;21,98;21,8495611285266
17.01.2021 17:44:31;25;23,228;22,07;21,9125078369906
17.01.2021 17:44:35;25;23,874;22,23;21,9125078369906
17.01.2021 17:44:39;25;24,397;22,36;22,0384012539185
17.01.2021 17:44:43;25;24,701;22,51;22,1013479623824
17.01.2021 17:44:47;25;24,742;22,62;22,2272413793103
17.01.2021 17:44:51;25;24,767;22,68;22,2901880877743
17.01.2021 17:44:55;25;24,657;22,73;22,3531347962382
17.01.2021 17:44:58;25;24,453;22,75;22,4160815047022
17.01.2021 17:45:02;25;24,325;22,75;22,4160815047022
17.01.2021 17:45:06;25;24,125;22,74;22,4790282131661
17.01.2021 17:45:10;25;24,102;22,74;22,4790282131661
17.01.2021 17:45:14;25;24,102;22,76;22,5419749216301
17.01.2021 17:45:18;25;24,139;22,77;22,5419749216301
17.01.2021 17:45:22;25;24,254;22,83;22,6049216300941
17.01.2021 17:45:25;25;24,376;22,88;22,6049216300941
17.01.2021 17:45:29;25;24,412;22,94;22,667868338558
17.01.2021 17:45:33;25;24,526;22,97;22,7308150470219
17.01.2021 17:45:37;25;24,644;23,03;22,7308150470219
17.01.2021 17:45:41;25;24,684;23,08;22,7937617554859
17.01.2021 17:45:45;25;24,732;23,12;22,8567084639498
17.01.2021 17:46:02;25;24,788;23,18;22,8567084639498
17.01.2021 17:46:08;25;24,928;23,36;23,0455485893417
17.01.2021 17:46:12;25;24,946;23,41;23,1084952978056
17.01.2021 17:46:16;25;24,954;23,45;23,1714420062696
17.01.2021 17:46:20;25;24,96;23,48;23,1714420062696
17.01.2021 17:46:24;25;24,965;23,5;23,2343887147335
17.01.2021 17:46:27;25;24,97;23,53;23,2343887147335
17.01.2021 17:46:31;25;24,973;23,57;23,2973354231975
17.01.2021 17:46:35;25;24,977;23,62;23,2973354231975
17.01.2021 17:46:39;25;24,981;23,64;23,3602821316614
17.01.2021 17:46:43;25;24,984;23,67;23,3602821316614
17.01.2021 17:46:47;25;24,986;23,71;23,4232288401254
17.01.2021 17:46:51;25;24,988;23,74;23,4232288401254
17.01.2021 17:46:54;25;24,99;23,75;23,4861755485894
17.01.2021 17:46:58;25;24,991;23,78;23,4861755485894
17.01.2021 17:47:02;25;24,993;23,81;23,5491222570533
17.01.2021 17:47:06;25;24,994;23,83;23,5491222570533
17.01.2021 17:47:10;25;24,995;23,86;23,5491222570533
17.01.2021 17:47:14;25;24,996;23,88;23,6120689655172
17.01.2021 17:47:18;25;24,996;23,91;23,6120689655172
17.01.2021 17:47:21;25;24,997;23,93;23,6750156739812
17.01.2021 17:47:25;25;24,997;23,97;23,6750156739812
17.01.2021 17:47:29;25;24,998;23,98;23,6750156739812
17.01.2021 17:47:33;25;24,998;24;23,7379623824451
17.01.2021 17:47:37;25;24,999;24,03;23,7379623824451
17.01.2021 17:47:41;25;24,999;24,06;23,8009090909091
17.01.2021 17:47:45;25;24,999;24,08;23,8009090909091
17.01.2021 17:47:48;25;24,999;24,1;23,8009090909091
17.01.2021 17:47:52;25;24,999;24,13;23,863855799373
17.01.2021 17:47:56;25;24,996;24,15;23,863855799373
17.01.2021 17:48:00;25;24,993;24,17;23,863855799373
17.01.2021 17:48:04;25;24,995;24,19;23,926802507837
17.01.2021 17:48:08;25;24,999;24,21;23,926802507837
17.01.2021 17:48:11;25;25,001;24,23;23,926802507837
17.01.2021 17:48:15;25;25,002;24,25;23,9897492163009
17.01.2021 17:48:19;25;25,003;24,27;23,9897492163009
17.01.2021 17:48:23;25;25,003;24,29;23,9897492163009
17.01.2021 17:48:27;25;25,002;24,3;23,9897492163009
17.01.2021 17:48:31;25;25,002;24,32;24,0526959247649
17.01.2021 17:48:35;25;25,001;24,35;24,0526959247649
17.01.2021 17:48:38;25;25,001;24,36;24,0526959247649
17.01.2021 17:48:42;25;25;24,38;24,1156426332288
17.01.2021 17:48:46;25;25;24,4;24,1156426332288
17.01.2021 17:48:50;25;25;24,42;24,1156426332288
17.01.2021 17:48:54;25;25;24,43;24,1785893416928
17.01.2021 17:48:58;25;25;24,45;24,1785893416928
17.01.2021 17:49:02;25;25;24,46;24,1785893416928
17.01.2021 17:49:05;25;25;24,47;24,1785893416928
17.01.2021 17:49:09;25;25;24,48;24,1785893416928
17.01.2021 17:49:13;25;25;24,49;24,2415360501568
17.01.2021 17:49:17;25;25;24,51;24,2415360501568
17.01.2021 17:49:21;25;25;24,52;24,2415360501568
17.01.2021 17:49:25;25;25;24,53;24,2415360501568
17.01.2021 17:49:29;25;25;24,55;24,3044827586207
17.01.2021 17:49:32;25;25;24,56;24,3044827586207
17.01.2021 17:49:36;25;25;24,57;24,3044827586207
17.01.2021 17:49:40;25;25;24,59;24,3044827586207
17.01.2021 17:49:44;25;25;24,6;24,3674294670846
17.01.2021 17:49:48;25;25;24,61;24,3674294670846
17.01.2021 17:49:52;25;25;24,62;24,3674294670846
17.01.2021 17:49:56;25;25;24,63;24,3674294670846
17.01.2021 17:49:59;25;25;24,65;24,3674294670846
17.01.2021 17:50:03;25;25;24,65;24,4303761755486
17.01.2021 17:50:07;25;25;24,67;24,4303761755486
17.01.2021 17:50:11;25;25;24,69;24,4303761755486
17.01.2021 17:50:15;25;25;24,69;24,4303761755486
17.01.2021 17:50:19;25;25;24,7;24,4933228840125
17.01.2021 17:50:23;25;25;24,73;24,4933228840125
17.01.2021 17:50:26;25;25;24,73;24,4933228840125
17.01.2021 17:50:30;25;25;24,74;24,4933228840125
