SetPoint;Chamber;Ref;DUT
17.01.2021 18:29:57;NaN;22,149;22,33;21,875
17.01.2021 18:30:01;NaN;22,15;22,33;21,875
17.01.2021 18:30:05;NaN;22,152;22,33;21,875
17.01.2021 18:30:09;NaN;22,153;22,33;21,875
17.01.2021 18:30:13;NaN;22,154;22,33;21,9375
17.01.2021 18:30:17;NaN;22,155;22,33;21,9375
17.01.2021 18:30:20;NaN;22,156;22,33;21,875
17.01.2021 18:30:24;NaN;22,157;22,33;21,9375
17.01.2021 18:30:28;NaN;22,158;22,33;21,875
17.01.2021 18:30:32;0;22,16;22,33;21,9375
17.01.2021 18:30:36;0;22,16;22,33;21,9375
17.01.2021 18:30:40;0;22,143;22,33;21,9375
17.01.2021 18:30:43;0;21,94;22,32;21,875
17.01.2021 18:30:47;0;21,741;22,29;21,9375
17.01.2021 18:30:51;0;21,326;22,24;21,875
17.01.2021 18:30:55;0;20,84;22,14;21,8125
17.01.2021 18:30:59;0;20,437;22,05;21,8125
17.01.2021 18:31:03;0;19,893;21,92;21,75
17.01.2021 18:31:06;0;19,337;21,77;21,6875
17.01.2021 18:31:10;0;18,778;21,6;21,5625
17.01.2021 18:31:14;0;18,288;21,48;21,5
17.01.2021 18:31:18;0;17,711;21,3;21,3125
17.01.2021 18:31:22;0;17,134;21,11;21,25
17.01.2021 18:31:26;0;16,562;20,97;21,125
17.01.2021 18:31:30;0;15,984;20,75;20,9375
17.01.2021 18:31:33;0;15,406;20,55;20,8125
17.01.2021 18:31:37;0;14,965;20,34;20,625
17.01.2021 18:31:41;0;14,338;20,15;20,5
17.01.2021 18:31:45;0;13,763;19,93;20,3125
17.01.2021 18:31:49;0;13,328;19,67;20,125
17.01.2021 18:31:53;0;12,755;19,5;19,9375
17.01.2021 18:31:56;0;12,186;19,25;19,75
17.01.2021 18:32:00;0;11,629;18,99;19,5
17.01.2021 18:32:04;0;11,068;18,78;19,3125
17.01.2021 18:32:08;0;10,573;18,51;19,125
17.01.2021 18:32:12;0;10,016;18,24;18,875
17.01.2021 18:32:16;0;9,467;17,96;18,625
17.01.2021 18:32:20;0;8,915;17,72;18,4375
17.01.2021 18:32:23;0;8,367;17,45;18,1875
17.01.2021 18:32:27;0;7,952;17,13;17,9375
17.01.2021 18:32:31;0;7,409;16,91;17,6875
17.01.2021 18:32:35;0;6,871;16,59;17,4375
17.01.2021 18:32:39;0;6,357;16,29;17,1875
17.01.2021 18:32:43;0;5,825;16,04;16,9375
17.01.2021 18:32:46;0;5,295;15,71;16,6875
17.01.2021 18:32:50;0;4,896;15,4;16,375
17.01.2021 18:32:54;0;4,393;15,07;16,125
17.01.2021 18:32:58;0;3,976;14,82;15,875
17.01.2021 18:33:02;0;3,691;14,5;15,625
17.01.2021 18:33:06;0;3,479;14,2;15,3125
17.01.2021 18:33:09;0;3,369;14;15,0625
17.01.2021 18:33:13;0;3,339;13,75;14,8125
17.01.2021 18:33:17;0;3,361;13,54;14,625
17.01.2021 18:33:21;0;3,463;13,38;14,375
17.01.2021 18:33:25;0;3,48;13,18;14,125
17.01.2021 18:33:29;0;3,465;12,99;13,9375
17.01.2021 18:33:33;0;3,337;12,77;13,75
17.01.2021 18:33:36;0;3,134;12,58;13,5625
17.01.2021 18:33:40;0;2,931;12,36;13,375
17.01.2021 18:33:44;0;2,648;12,1;13,125
17.01.2021 18:33:48;0;2,412;11,91;12,9375
17.01.2021 18:33:52;0;2,201;11,65;12,75
17.01.2021 18:33:56;0;2,081;11,39;12,5
17.01.2021 18:33:59;0;1,96;11,16;12,3125
17.01.2021 18:34:03;0;1,766;10,99;12,125
17.01.2021 18:34:07;0;1,574;10,74;11,875
17.01.2021 18:34:11;0;1,377;10,52;11,6875
17.01.2021 18:34:15;0;1,174;10,33;11,5
17.01.2021 18:34:19;0;1,049;10,1;11,3125
17.01.2021 18:34:22;0;0,835;9,86000000000001;11,125
17.01.2021 18:34:26;0;0,714;9,69;10,9375
17.01.2021 18:34:30;0;0,51;9,45999999999998;10,6875
17.01.2021 18:34:34;0;0,394;9,23000000000002;10,5
17.01.2021 18:34:38;0;0,282;9,01999999999998;10,3125
17.01.2021 18:34:42;0;0,25;8,85000000000002;10,125
17.01.2021 18:34:45;0;0,193;8,64999999999998;9,9375
17.01.2021 18:34:49;0;0,145;8,45999999999998;9,75
17.01.2021 18:34:53;0;0,098;8,31;9,625
17.01.2021 18:34:57;0;0,063;8,13;9,4375
17.01.2021 18:35:01;0;0,042;7,94999999999999;9,25
17.01.2021 18:35:05;0;0,027;7,82999999999998;9,125
17.01.2021 18:35:08;0;0,02;7,63999999999999;8,9375
17.01.2021 18:35:12;0;0,019;7,49000000000001;8,75
17.01.2021 18:35:16;0;0,021;7,31999999999999;8,625
17.01.2021 18:35:20;0;0,024;7,20999999999998;8,5
17.01.2021 18:35:24;0;0,028;7,06;8,3125
17.01.2021 18:35:28;0;0,031;6,89999999999998;8,1875
17.01.2021 18:35:32;0;0,034;6,75999999999999;8,0625
17.01.2021 18:35:35;0;0,036;6,64999999999998;7,9375
17.01.2021 18:35:39;0;0,036;6,50999999999999;7,8125
17.01.2021 18:35:43;0;0,035;6,37;7,625
17.01.2021 18:35:47;0;0,033;6,26999999999998;7,5625
17.01.2021 18:35:51;0;0,03;6,13;7,375
17.01.2021 18:35:55;0;0,027;6,00999999999999;7,25
17.01.2021 18:35:59;0;0,03;5,88;7,125
17.01.2021 18:36:02;0;0,027;5,76999999999998;7,0625
