SetPoint,Timestamp,Chamber temperature,Reference temperature,DUT temperature
NaN,"19.01.2021 14:38:00",21.544,21.71,21.9023228420519
NaN,"19.01.2021 14:38:04",21.544,21.71,21.9023228420519
NaN,"19.01.2021 14:38:07",21.545,21.71,21.9023228420519
NaN,"19.01.2021 14:38:10",21.546,21.71,21.3938259170827
NaN,"19.01.2021 14:38:13",21.546,21.72,21.9023228420519
NaN,"19.01.2021 14:38:17",21.547,21.72,21.9023228420519
NaN,"19.01.2021 14:38:20",21.547,21.72,21.9023228420519
NaN,"19.01.2021 14:38:23",21.548,21.72,21.9023228420519
NaN,"19.01.2021 14:38:26",21.548,21.72,21.9023228420519
25,"19.01.2021 14:38:30",21.549,21.72,21.9023228420519
25,"19.01.2021 14:38:33",21.55,21.72,21.9023228420519
25,"19.01.2021 14:38:36",21.571,21.72,21.9023228420519
25,"19.01.2021 14:38:39",21.88,21.74,21.9023228420519
25,"19.01.2021 14:38:43",22.237,21.76,21.9023228420519
25,"19.01.2021 14:38:46",22.829,21.83,21.9023228420519
25,"19.01.2021 14:38:49",23.454,21.91,21.9023228420519
25,"19.01.2021 14:38:52",24.061,22,21.9023228420519
25,"19.01.2021 14:38:56",24.438,22.1,21.9023228420519
25,"19.01.2021 14:38:59",24.666,22.21,21.9023228420519
25,"19.01.2021 14:39:02",24.773,22.3,21.9023228420519
25,"19.01.2021 14:39:05",24.816,22.37,21.9023228420519
25,"19.01.2021 14:39:09",24.823,22.43,22.4108197670212
25,"19.01.2021 14:39:12",24.708,22.48,22.4108197670212
25,"19.01.2021 14:39:15",24.494,22.49,22.4108197670212
25,"19.01.2021 14:39:18",24.286,22.5,22.4108197670212
25,"19.01.2021 14:39:22",24.159,22.5,22.4108197670212
25,"19.01.2021 14:39:25",24.037,22.5,22.4108197670212
25,"19.01.2021 14:39:28",23.992,22.5,22.4108197670212
25,"19.01.2021 14:39:31",23.967,22.51,22.4108197670212
25,"19.01.2021 14:39:35",23.984,22.54,22.4108197670212
25,"19.01.2021 14:39:38",24.097,22.57,22.4108197670212
25,"19.01.2021 14:39:41",24.21,22.6,22.4108197670212
25,"19.01.2021 14:39:44",24.243,22.64,22.4108197670212
25,"19.01.2021 14:39:48",24.351,22.68,22.4108197670212
25,"19.01.2021 14:39:51",24.464,22.72,22.4108197670212
25,"19.01.2021 14:39:54",24.501,22.76,22.4108197670212
25,"19.01.2021 14:39:57",24.601,22.83,22.9193166919904
25,"19.01.2021 14:40:01",24.638,22.87,22.9193166919904
25,"19.01.2021 14:40:04",24.693,22.91,22.9193166919904
25,"19.01.2021 14:40:07",24.79,22.95,22.9193166919904
25,"19.01.2021 14:40:10",24.813,22.98,22.9193166919904
25,"19.01.2021 14:40:14",24.839,23.01,22.9193166919904
25,"19.01.2021 14:40:17",24.868,23.05,22.9193166919904
25,"19.01.2021 14:40:20",24.892,23.09,22.9193166919904
25,"19.01.2021 14:40:23",24.909,23.12,22.9193166919904
25,"19.01.2021 14:40:27",24.923,23.15,22.9193166919904
25,"19.01.2021 14:40:30",24.935,23.19,22.9193166919904
25,"19.01.2021 14:40:33",24.944,23.22,22.9193166919904
25,"19.01.2021 14:40:36",24.951,23.25,22.9193166919904
25,"19.01.2021 14:40:40",24.957,23.28,22.9193166919904
25,"19.01.2021 14:40:43",24.961,23.31,22.9193166919904
25,"19.01.2021 14:40:46",24.966,23.34,22.9193166919904
25,"19.01.2021 14:40:49",24.97,23.37,23.4278136169597
25,"19.01.2021 14:40:53",24.974,23.4,23.4278136169597
25,"19.01.2021 14:40:56",24.977,23.42,23.4278136169597
25,"19.01.2021 14:40:59",24.98,23.46,23.4278136169597
25,"19.01.2021 14:41:02",24.982,23.48,23.4278136169597
25,"19.01.2021 14:41:06",24.984,23.5,23.4278136169597
25,"19.01.2021 14:41:09",24.987,23.54,23.4278136169597
25,"19.01.2021 14:41:12",24.989,23.57,23.4278136169597
25,"19.01.2021 14:41:15",24.99,23.6,23.4278136169597
25,"19.01.2021 14:41:19",24.991,23.62,23.4278136169597
25,"19.01.2021 14:41:22",24.993,23.64,23.4278136169597
25,"19.01.2021 14:41:25",24.994,23.67,23.4278136169597
25,"19.01.2021 14:41:28",24.995,23.69,23.4278136169597
25,"19.01.2021 14:41:32",24.995,23.71,23.4278136169597
25,"19.01.2021 14:41:35",24.996,23.74,23.4278136169597
25,"19.01.2021 14:41:38",24.997,23.77,23.4278136169597
25,"19.01.2021 14:41:41",24.997,23.79,23.4278136169597
25,"19.01.2021 14:41:45",24.998,23.81,23.4278136169597
25,"19.01.2021 14:41:48",24.998,23.83,23.4278136169597
25,"19.01.2021 14:41:51",24.998,23.85,23.4278136169597
25,"19.01.2021 14:41:54",24.998,23.87,23.4278136169597
25,"19.01.2021 14:41:58",24.999,23.89,23.4278136169597
25,"19.01.2021 14:42:01",24.999,23.92,23.4278136169597
25,"19.01.2021 14:42:04",24.999,23.95,23.4278136169597
25,"19.01.2021 14:42:07",24.998,23.97,23.9363105419289
25,"19.01.2021 14:42:11",24.993,23.98,23.4278136169597
25,"19.01.2021 14:42:14",24.995,24,23.9363105419289
25,"19.01.2021 14:42:17",24.998,24.01,23.9363105419289
25,"19.01.2021 14:42:20",25,24.03,23.9363105419289
25,"19.01.2021 14:42:24",25.001,24.07,23.9363105419289
25,"19.01.2021 14:42:27",25.003,24.09,23.9363105419289
25,"19.01.2021 14:42:30",25.003,24.1,23.9363105419289
25,"19.01.2021 14:42:33",25.003,24.12,23.9363105419289
25,"19.01.2021 14:42:37",25.003,24.14,23.9363105419289
25,"19.01.2021 14:42:40",25.003,24.15,23.9363105419289
25,"19.01.2021 14:42:43",25.002,24.17,23.9363105419289
25,"19.01.2021 14:42:46",25.001,24.19,23.9363105419289
25,"19.01.2021 14:42:50",25.001,24.21,23.9363105419289
25,"19.01.2021 14:42:53",25.001,24.22,23.9363105419289
25,"19.01.2021 14:42:56",25.001,24.24,23.9363105419289
25,"19.01.2021 14:42:59",25.001,24.25,23.9363105419289
25,"19.01.2021 14:43:03",25.001,24.27,23.9363105419289
25,"19.01.2021 14:43:06",25.001,24.28,23.9363105419289
25,"19.01.2021 14:43:09",25,24.3,23.9363105419289
25,"19.01.2021 14:43:12",25,24.31,23.9363105419289
25,"19.01.2021 14:43:16",25,24.34,23.9363105419289
25,"19.01.2021 14:43:19",25,24.35,23.9363105419289
25,"19.01.2021 14:43:22",25.001,24.36,23.9363105419289
25,"19.01.2021 14:43:25",25.001,24.38,23.9363105419289
25,"19.01.2021 14:43:29",25.001,24.39,23.9363105419289
25,"19.01.2021 14:43:32",25.001,24.4,23.9363105419289
25,"19.01.2021 14:43:35",25,24.42,23.9363105419289
25,"19.01.2021 14:43:38",25.001,24.43,23.9363105419289
25,"19.01.2021 14:43:42",25,24.44,23.9363105419289
25,"19.01.2021 14:43:45",25,24.46,23.9363105419289
25,"19.01.2021 14:43:48",25,24.47,23.9363105419289
25,"19.01.2021 14:43:51",25.001,24.47,23.9363105419289
