SetPoint [°C],Timestamp,Chamber temperature [°C],Reference temperature [°C],DUT temperature [°C]
NaN,"19.01.2021 17:00:31",24.828,25.16,25.1603460837887
NaN,"19.01.2021 17:00:35",24.826,25.16,25.1603460837887
25,"19.01.2021 17:00:39",24.824,25.16,25.1603460837887
25,"19.01.2021 17:00:43",24.832,25.16,25.1603460837887
25,"19.01.2021 17:00:46",24.856,25.16,25.1603460837887
25,"19.01.2021 17:00:50",24.876,25.16,25.1603460837887
25,"19.01.2021 17:00:54",24.894,25.16,25.1603460837887
25,"19.01.2021 17:00:58",24.907,25.16,25.1603460837887
25,"19.01.2021 17:01:02",24.915,25.17,25.2242167577413
25,"19.01.2021 17:01:06",24.923,25.17,25.1603460837887
25,"19.01.2021 17:01:09",24.933,25.17,25.2242167577413
25,"19.01.2021 17:01:13",24.943,25.17,25.2242167577413
25,"19.01.2021 17:01:17",24.953,25.17,25.2242167577413
25,"19.01.2021 17:01:21",24.962,25.18,25.2242167577413
25,"19.01.2021 17:01:25",24.971,25.18,25.2242167577413
25,"19.01.2021 17:01:29",24.977,25.18,25.2242167577413
25,"19.01.2021 17:01:33",24.982,25.18,25.2242167577413
25,"19.01.2021 17:01:36",24.987,25.18,25.2242167577413
25,"19.01.2021 17:01:40",24.99,25.18,25.2242167577413
25,"19.01.2021 17:01:44",24.992,25.19,25.2242167577413
25,"19.01.2021 17:01:48",24.994,25.19,25.2242167577413
25,"19.01.2021 17:01:52",24.996,25.19,25.2242167577413
25,"19.01.2021 17:01:56",24.996,25.19,25.2242167577413
25,"19.01.2021 17:02:00",24.996,25.19,25.2242167577413
25,"19.01.2021 17:02:04",24.997,25.19,25.2242167577413
25,"19.01.2021 17:02:07",24.997,25.19,25.2242167577413
25,"19.01.2021 17:02:11",24.998,25.19,25.2242167577413
25,"19.01.2021 17:02:15",24.998,25.19,25.2242167577413
25,"19.01.2021 17:02:19",24.999,25.19,25.2242167577413
25,"19.01.2021 17:02:23",24.999,25.19,25.2242167577413
25,"19.01.2021 17:02:27",24.998,25.2,25.2242167577413
25,"19.01.2021 17:02:30",24.999,25.19,25.2242167577413
25,"19.01.2021 17:02:34",24.999,25.2,25.2242167577413
25,"19.01.2021 17:02:38",24.999,25.2,25.2242167577413
25,"19.01.2021 17:02:42",24.999,25.2,25.2242167577413
25,"19.01.2021 17:02:46",25,25.2,25.2242167577413
25,"19.01.2021 17:02:50",24.999,25.2,25.2242167577413
25,"19.01.2021 17:02:54",25,25.2,25.2242167577413
25,"19.01.2021 17:02:57",25,25.2,25.2242167577413
25,"19.01.2021 17:03:01",25,25.2,25.2242167577413
25,"19.01.2021 17:03:05",25,25.2,25.2242167577413
25,"19.01.2021 17:03:09",25,25.2,25.2242167577413
25,"19.01.2021 17:03:13",25,25.21,25.2242167577413
25,"19.01.2021 17:03:17",24.999,25.21,25.2242167577413
25,"19.01.2021 17:03:21",24.999,25.21,25.2242167577413
25,"19.01.2021 17:03:24",24.999,25.21,25.2242167577413
25,"19.01.2021 17:03:28",24.999,25.21,25.2242167577413
25,"19.01.2021 17:03:32",24.999,25.21,25.2242167577413
25,"19.01.2021 17:03:36",25,25.21,25.2242167577413
25,"19.01.2021 17:03:40",25,25.21,25.2242167577413
25,"19.01.2021 17:03:44",25,25.21,25.2242167577413
25,"19.01.2021 17:03:48",25,25.21,25.2242167577413
25,"19.01.2021 17:03:51",25,25.21,25.2242167577413
25,"19.01.2021 17:03:55",25,25.21,25.2242167577413
25,"19.01.2021 17:03:59",25,25.21,25.2242167577413
25,"19.01.2021 17:04:03",25.001,25.21,25.2242167577413
25,"19.01.2021 17:04:07",25,25.21,25.288087431694
25,"19.01.2021 17:04:11",25,25.22,25.2242167577413
25,"19.01.2021 17:04:15",25,25.22,25.2242167577413
25,"19.01.2021 17:04:18",25,25.22,25.2242167577413
25,"19.01.2021 17:04:22",25,25.22,25.2242167577413
25,"19.01.2021 17:04:26",25,25.22,25.2242167577413
25,"19.01.2021 17:04:30",25,25.22,25.2242167577413
25,"19.01.2021 17:04:34",25.001,25.22,25.2242167577413
25,"19.01.2021 17:04:38",25,25.22,25.2242167577413
25,"19.01.2021 17:04:42",25,25.22,25.2242167577413
25,"19.01.2021 17:04:45",24.999,25.22,25.2242167577413
25,"19.01.2021 17:04:49",24.999,25.22,25.2242167577413
25,"19.01.2021 17:04:53",25,25.22,25.2242167577413
25,"19.01.2021 17:04:57",24.999,25.22,25.2242167577413
25,"19.01.2021 17:05:01",25,25.22,25.2242167577413
25,"19.01.2021 17:05:05",25,25.22,25.2242167577413
25,"19.01.2021 17:05:09",25,25.22,25.2242167577413
25,"19.01.2021 17:05:12",25,25.22,25.2242167577413
25,"19.01.2021 17:05:16",25,25.22,25.2242167577413
25,"19.01.2021 17:05:20",25,25.22,25.2242167577413
25,"19.01.2021 17:05:24",25,25.22,25.2242167577413
25,"19.01.2021 17:05:28",24.999,25.22,25.288087431694
25,"19.01.2021 17:05:32",25,25.22,25.2242167577413
25,"19.01.2021 17:05:36",25,25.22,25.288087431694
25,"19.01.2021 17:05:39",25,25.22,25.2242167577413
25,"19.01.2021 17:05:43",25,25.22,25.2242167577413
25,"19.01.2021 17:05:47",25,25.22,25.2242167577413
25,"19.01.2021 17:05:51",25,25.23,25.288087431694
25,"19.01.2021 17:05:55",25,25.23,25.2242167577413
25,"19.01.2021 17:05:59",25,25.23,25.2242167577413
25,"19.01.2021 17:06:03",25,25.23,25.2242167577413
25,"19.01.2021 17:06:06",25,25.23,25.288087431694
25,"19.01.2021 17:06:10",25,25.23,25.2242167577413
25,"19.01.2021 17:06:14",25,25.23,25.288087431694
25,"19.01.2021 17:06:18",25,25.23,25.288087431694
25,"19.01.2021 17:06:22",25,25.23,25.2242167577413
25,"19.01.2021 17:06:26",25,25.23,25.2242167577413
25,"19.01.2021 17:06:30",25,25.23,25.288087431694
25,"19.01.2021 17:06:33",25,25.23,25.2242167577413
25,"19.01.2021 17:06:37",25,25.23,25.2242167577413
25,"19.01.2021 17:06:41",25,25.23,25.288087431694
25,"19.01.2021 17:06:45",25,25.23,25.288087431694
25,"19.01.2021 17:06:49",24.999,25.23,25.288087431694
25,"19.01.2021 17:06:53",25,25.23,25.288087431694
25,"19.01.2021 17:06:56",25,25.23,25.2242167577413
25,"19.01.2021 17:07:00",25,25.23,25.288087431694
25,"19.01.2021 17:07:04",25,25.23,25.2242167577413
25,"19.01.2021 17:07:08",25,25.23,25.2242167577413
25,"19.01.2021 17:07:12",25,25.23,25.288087431694
25,"19.01.2021 17:07:16",25,25.23,25.288087431694
25,"19.01.2021 17:07:20",25,25.23,25.288087431694
25,"19.01.2021 17:07:23",25,25.23,25.2242167577413
25,"19.01.2021 17:07:27",25,25.23,25.288087431694
25,"19.01.2021 17:07:31",25,25.23,25.288087431694
25,"19.01.2021 17:07:35",25,25.23,25.2242167577413
25,"19.01.2021 17:07:39",25,25.23,25.288087431694
25,"19.01.2021 17:07:43",25,25.23,25.2242167577413
25,"19.01.2021 17:07:47",25,25.23,25.288087431694
25,"19.01.2021 17:07:50",25,25.23,25.288087431694
25,"19.01.2021 17:07:54",25,25.23,25.2242167577413
25,"19.01.2021 17:07:58",25,25.23,25.288087431694
25,"19.01.2021 17:08:02",25,25.23,25.288087431694
25,"19.01.2021 17:08:06",25,25.23,25.288087431694
25,"19.01.2021 17:08:10",25,25.23,25.288087431694
25,"19.01.2021 17:08:14",25,25.23,25.288087431694
25,"19.01.2021 17:08:17",25,25.23,25.288087431694
