SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
20,02.02.2021 10:00:07,20.2,19.8125
20,02.02.2021 10:00:07,20.2,19.8125
20,02.02.2021 10:00:11,20.2,19.8125
20,02.02.2021 10:00:11,20.2,19.8125
20,02.02.2021 10:00:15,20.2,19.8125
20,02.02.2021 10:00:15,20.2,19.8125
20,02.02.2021 10:00:19,20.2,19.8125
SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
40,02.02.2021 10:23:43,40.14,39.5
40,02.02.2021 10:23:43,40.14,39.5
40,02.02.2021 10:23:47,40.14,39.5
40,02.02.2021 10:23:47,40.14,39.5625
40,02.02.2021 10:23:51,40.14,39.5625
40,02.02.2021 10:23:51,40.14,39.5
40,02.02.2021 10:23:55,40.14,39.5
