SetPoint [°C],Timestamp,Chamber temperature [°C],Reference temperature [°C],DUT temperature [°C]
0,"02.02.2021 11:46:27",26.195,26.36,25.875
0,"02.02.2021 11:46:31",26.19,26.36,25.875
0,"02.02.2021 11:46:35",26.068,26.36,25.8125
0,"02.02.2021 11:46:39",25.87,26.35,25.8125
0,"02.02.2021 11:46:43",25.458,26.33,25.75
0,"02.02.2021 11:46:47",24.993,26.3,25.625
0,"02.02.2021 11:46:51",24.601,26.27,25.5625
0,"02.02.2021 11:46:55",24.073,26.21,25.375
0,"02.02.2021 11:46:59",23.53,26.15,25.1875
0,"02.02.2021 11:47:03",22.844,26.08,25
0,"02.02.2021 11:47:07",22.417,25.99,24.8125
0,"02.02.2021 11:47:11",21.854,25.9,24.5625
0,"02.02.2021 11:47:15",21.288,25.82,24.3125
0,"02.02.2021 11:47:19",20.72,25.71,24
0,"02.02.2021 11:47:23",20.151,25.6,23.8125
0,"02.02.2021 11:47:26",19.583,25.49,23.5
0,"02.02.2021 11:47:30",19.022,25.36,23.1875
0,"02.02.2021 11:47:34",18.471,25.25,22.875
0,"02.02.2021 11:47:38",17.902,25.11,22.5625
0,"02.02.2021 11:47:42",17.338,24.96,22.1875
0,"02.02.2021 11:47:46",16.776,24.81,21.875
0,"02.02.2021 11:47:50",16.349,24.67,21.5625
0,"02.02.2021 11:47:54",15.789,24.5,21.125
0,"02.02.2021 11:47:58",15.233,24.34,20.8125
0,"02.02.2021 11:48:02",14.63,24.14,20.4375
0,"02.02.2021 11:48:06",14.079,23.95,20.0625
0,"02.02.2021 11:48:10",13.53,23.8,19.6875
0,"02.02.2021 11:48:13",12.982,23.59,19.25
0,"02.02.2021 11:48:17",12.571,23.38,18.875
0,"02.02.2021 11:48:21",12.03,23.15,18.5
0,"02.02.2021 11:48:25",11.489,22.98,18.0625
0,"02.02.2021 11:48:29",10.957,22.75,17.6875
0,"02.02.2021 11:48:33",10.43,22.5,17.3125
0,"02.02.2021 11:48:37",9.909,22.26,16.875
0,"02.02.2021 11:48:41",9.382,22.07,16.4375
0,"02.02.2021 11:48:45",8.86,21.81,16.0625
0,"02.02.2021 11:48:49",8.343,21.53,15.625
0,"02.02.2021 11:48:53",7.827,21.27,15.1875
0,"02.02.2021 11:48:57",7.315,21,14.8125
0,"02.02.2021 11:49:00",6.808,20.78,14.375
0,"02.02.2021 11:49:04",6.436,20.5,13.9375
0,"02.02.2021 11:49:08",5.935,20.21,13.5
0,"02.02.2021 11:49:12",5.437,19.91,13.125
0,"02.02.2021 11:49:16",4.943,19.67,12.6875
0,"02.02.2021 11:49:20",4.497,19.39,12.25
0,"02.02.2021 11:49:24",4.214,19.08,11.875
0,"02.02.2021 11:49:28",3.894,18.78,11.4375
0,"02.02.2021 11:49:32",3.777,18.48,11.125
0,"02.02.2021 11:49:36",3.736,18.27,10.75
0,"02.02.2021 11:49:40",3.723,17.99,10.5
0,"02.02.2021 11:49:43",3.733,17.7,10.1875
0,"02.02.2021 11:49:47",3.723,17.45,9.9375
0,"02.02.2021 11:49:51",3.604,17.24,9.6875
0,"02.02.2021 11:49:55",3.414,16.97,9.4375
0,"02.02.2021 11:49:59",3.219,16.7,9.1875
0,"02.02.2021 11:50:03",3.014,16.42,8.9375
0,"02.02.2021 11:50:07",2.798,16.14,8.6875
0,"02.02.2021 11:50:11",2.434,15.95,8.4375
0,"02.02.2021 11:50:15",2.229,15.65,8.125
0,"02.02.2021 11:50:19",2.019,15.38,7.9375
0,"02.02.2021 11:50:23",1.983,15.09,7.6875
0,"02.02.2021 11:50:27",1.796,14.83,7.4375
0,"02.02.2021 11:50:31",1.581,14.62,7.1875
0,"02.02.2021 11:50:35",1.451,14.36,7
0,"02.02.2021 11:50:38",1.235,14.1,6.8125
0,"02.02.2021 11:50:42",1.119,13.82,6.5625
0,"02.02.2021 11:50:46",0.907,13.63,6.3125
0,"02.02.2021 11:50:50",0.782,13.37,6.125
0,"02.02.2021 11:50:54",0.592,13.1,5.875
0,"02.02.2021 11:50:58",0.47,12.86,5.6875
0,"02.02.2021 11:51:02",0.357,12.59,5.5
0,"02.02.2021 11:51:06",0.246,12.41,5.3125
0,"02.02.2021 11:51:10",0.204,12.15,5.125
0,"02.02.2021 11:51:14",0.15,11.91,4.9375
0,"02.02.2021 11:51:18",0.103,11.68,4.8125
0,"02.02.2021 11:51:22",0.065,11.44,4.625
0,"02.02.2021 11:51:26",0.038,11.27,4.5
0,"02.02.2021 11:51:29",0.021,11.05,4.375
0,"02.02.2021 11:51:33",0.012,10.82,4.25
0,"02.02.2021 11:51:37",0.009,10.59,4.125
0,"02.02.2021 11:51:41",0.009,10.44,4
0,"02.02.2021 11:51:45",0.013,10.22,3.875
0,"02.02.2021 11:51:49",0.018,10.01,3.8125
0,"02.02.2021 11:51:53",0.022,9.81,3.6875
0,"02.02.2021 11:51:57",0.027,9.58999999999997,3.5625
0,"02.02.2021 11:52:01",0.037,9.45999999999998,3.5
0,"02.02.2021 11:52:05",0.039,9.26999999999998,3.4375
0,"02.02.2021 11:52:09",0.037,9.06999999999999,3.3125
0,"02.02.2021 11:52:13",0.033,8.88,3.25
0,"02.02.2021 11:52:17",0.028,8.74000000000001,3.125
0,"02.02.2021 11:52:20",0.023,8.56999999999999,3.0625
0,"02.02.2021 11:52:24",0.019,8.38,3
0,"02.02.2021 11:52:28",0.014,8.19999999999999,2.9375
0,"02.02.2021 11:52:32",0.011,8.04000000000002,2.875
0,"02.02.2021 11:52:36",0.008,7.91000000000003,2.8125
0,"02.02.2021 11:52:40",0.006,7.74000000000001,2.75
0,"02.02.2021 11:52:44",0.004,7.56999999999999,2.6875
0,"02.02.2021 11:52:48",0.004,7.43000000000001,2.625
0,"02.02.2021 11:52:52",0.003,7.25999999999999,2.5625
0,"02.02.2021 11:52:56",0.003,7.13999999999999,2.5
0,"02.02.2021 11:53:00",0.003,7,2.4375
0,"02.02.2021 11:53:04",0.003,6.85000000000002,2.375
0,"02.02.2021 11:53:08",0.003,6.70999999999998,2.375
0,"02.02.2021 11:53:11",0.003,6.57999999999998,2.3125
0,"02.02.2021 11:53:15",0.003,6.45999999999998,2.25
0,"02.02.2021 11:53:19",0.003,6.31999999999999,2.25
0,"02.02.2021 11:53:23",0.002,6.19,2.1875
0,"02.02.2021 11:53:27",0.002,6.06,2.125
0,"02.02.2021 11:53:31",0.002,5.97000000000003,2.125
0,"02.02.2021 11:53:35",0.002,5.82999999999998,2.0625
0,"02.02.2021 11:53:39",0.001,5.69999999999999,2
0,"02.02.2021 11:53:43",0.001,5.58999999999997,2
0,"02.02.2021 11:53:47",0,5.48000000000002,1.9375
0,"02.02.2021 11:53:51",0,5.38999999999999,1.875
0,"02.02.2021 11:53:55",0,5.25999999999999,1.875
0,"02.02.2021 11:53:59",0,5.14999999999998,1.8125
0,"02.02.2021 11:54:02",-0.001,5.06,1.8125
0,"02.02.2021 11:54:06",-0.001,4.94,1.75
0,"02.02.2021 11:54:10",-0.001,4.87,1.75
0,"02.02.2021 11:54:14",-0.002,4.75999999999999,1.6875
0,"02.02.2021 11:54:18",-0.002,4.66000000000003,1.625
0,"02.02.2021 11:54:22",-0.001,4.56,1.625
0,"02.02.2021 11:54:26",-0.002,4.45999999999998,1.625
0,"02.02.2021 11:54:30",-0.002,4.38999999999999,1.5625
0,"02.02.2021 11:54:34",-0.002,4.31,1.5625
0,"02.02.2021 11:54:38",-0.002,4.19999999999999,1.5
0,"02.02.2021 11:54:42",-0.002,4.12,1.5
0,"02.02.2021 11:54:46",-0.002,4.05000000000001,1.5
0,"02.02.2021 11:54:49",-0.002,3.97000000000003,1.4375
0,"02.02.2021 11:54:53",-0.002,3.88999999999999,1.4375
0,"02.02.2021 11:54:57",-0.002,3.80000000000001,1.375
0,"02.02.2021 11:55:01",-0.002,3.72000000000003,1.375
0,"02.02.2021 11:55:05",-0.002,3.66000000000003,1.3125
0,"02.02.2021 11:55:09",-0.002,3.58999999999997,1.3125
0,"02.02.2021 11:55:13",-0.002,3.51999999999998,1.3125
0,"02.02.2021 11:55:17",-0.002,3.43000000000001,1.25
0,"02.02.2021 11:55:21",-0.002,3.36000000000001,1.25
0,"02.02.2021 11:55:25",-0.002,3.30000000000001,1.25
0,"02.02.2021 11:55:29",-0.002,3.23000000000002,1.1875
0,"02.02.2021 11:55:33",-0.002,3.17000000000002,1.1875
0,"02.02.2021 11:55:37",-0.002,3.11000000000001,1.1875
0,"02.02.2021 11:55:41",-0.003,3.04000000000002,1.125
0,"02.02.2021 11:55:44",-0.002,2.99000000000001,1.125
0,"02.02.2021 11:55:48",-0.002,2.93000000000001,1.125
0,"02.02.2021 11:55:52",-0.002,2.87,1.125
0,"02.02.2021 11:55:56",-0.002,2.80000000000001,1.0625
0,"02.02.2021 11:56:00",-0.002,2.75999999999999,1.0625
0,"02.02.2021 11:56:04",-0.002,2.69999999999999,1.0625
0,"02.02.2021 11:56:08",-0.002,2.63,1
0,"02.02.2021 11:56:12",-0.002,2.58999999999997,1
0,"02.02.2021 11:56:16",-0.002,2.54000000000002,1
0,"02.02.2021 11:56:20",-0.002,2.5,0.9375
0,"02.02.2021 11:56:24",-0.002,2.44999999999999,0.9375
0,"02.02.2021 11:56:28",-0.002,2.39999999999998,0.9375
0,"02.02.2021 11:56:32",-0.002,2.35000000000002,0.9375
0,"02.02.2021 11:56:35",-0.002,2.29000000000002,0.875
0,"02.02.2021 11:56:39",-0.002,2.25,0.9375
0,"02.02.2021 11:56:43",-0.002,2.20999999999998,0.875
0,"02.02.2021 11:56:47",-0.002,2.14999999999998,0.875
0,"02.02.2021 11:56:51",-0.002,2.11000000000001,0.875
0,"02.02.2021 11:56:55",-0.002,2.07999999999998,0.875
0,"02.02.2021 11:56:59",-0.002,2.05000000000001,0.8125
0,"02.02.2021 11:57:03",-0.002,2,0.8125
0,"02.02.2021 11:57:07",-0.002,1.95999999999998,0.8125
0,"02.02.2021 11:57:11",-0.002,1.92000000000002,0.8125
0,"02.02.2021 11:57:15",-0.002,1.88,0.8125
0,"02.02.2021 11:57:19",-0.002,1.85000000000002,0.75
0,"02.02.2021 11:57:23",-0.002,1.81,0.75
0,"02.02.2021 11:57:27",-0.002,1.76999999999998,0.75
0,"02.02.2021 11:57:30",-0.002,1.74000000000001,0.75
0,"02.02.2021 11:57:34",-0.002,1.70999999999998,0.75
0,"02.02.2021 11:57:38",-0.002,1.68000000000001,0.6875
0,"02.02.2021 11:57:42",-0.002,1.63999999999999,0.6875
0,"02.02.2021 11:57:46",-0.002,1.62,0.6875
0,"02.02.2021 11:57:50",-0.001,1.58999999999997,0.6875
0,"02.02.2021 11:57:54",-0.001,1.55000000000001,0.6875
0,"02.02.2021 11:57:58",-0.001,1.50999999999999,0.6875
0,"02.02.2021 11:58:02",-0.001,1.48000000000002,0.6875
0,"02.02.2021 11:58:06",-0.001,1.44999999999999,0.6875
0,"02.02.2021 11:58:10",-0.001,1.42000000000002,0.625
0,"02.02.2021 11:58:14",-0.001,1.39999999999998,0.625
0,"02.02.2021 11:58:18",-0.001,1.38,0.625
0,"02.02.2021 11:58:21",-0.001,1.35000000000002,0.625
0,"02.02.2021 11:58:25",-0.001,1.31999999999999,0.625
0,"02.02.2021 11:58:29",-0.001,1.30000000000001,0.625
0,"02.02.2021 11:58:33",-0.001,1.27999999999997,0.5625
0,"02.02.2021 11:58:37",-0.001,1.25,0.5625
0,"02.02.2021 11:58:41",-0.001,1.23000000000002,0.5625
0,"02.02.2021 11:58:45",-0.001,1.19999999999999,0.5625
0,"02.02.2021 11:58:49",-0.001,1.19,0.5625
0,"02.02.2021 11:58:53",-0.001,1.16000000000003,0.5625
0,"02.02.2021 11:58:57",-0.001,1.13,0.5625
0,"02.02.2021 11:59:01",-0.001,1.11000000000001,0.5625
0,"02.02.2021 11:59:05",-0.001,1.10000000000002,0.5625
0,"02.02.2021 11:59:09",-0.001,1.07999999999998,0.5625
0,"02.02.2021 11:59:12",-0.001,1.06,0.5
0,"02.02.2021 11:59:16",-0.001,1.04000000000002,0.5
0,"02.02.2021 11:59:20",-0.001,1.01999999999998,0.5
0,"02.02.2021 11:59:24",-0.001,1,0.5
0,"02.02.2021 11:59:28",-0.001,0.980000000000018,0.5
0,"02.02.2021 11:59:32",-0.001,0.970000000000027,0.5
0,"02.02.2021 11:59:36",-0.001,0.949999999999989,0.5
0,"02.02.2021 11:59:40",-0.001,0.920000000000016,0.5
0,"02.02.2021 11:59:44",-0.001,0.910000000000025,0.5
0,"02.02.2021 11:59:48",-0.001,0.889999999999986,0.5
0,"02.02.2021 11:59:52",-0.001,0.870000000000005,0.5
0,"02.02.2021 11:59:56",-0.001,0.860000000000014,0.4375
0,"02.02.2021 11:59:59",-0.001,0.839999999999975,0.4375
0,"02.02.2021 12:00:03",0,0.829999999999984,0.4375
0,"02.02.2021 12:00:07",-0.001,0.810000000000002,0.4375
0,"02.02.2021 12:00:11",-0.001,0.800000000000011,0.4375
0,"02.02.2021 12:00:15",-0.001,0.779999999999973,0.4375
0,"02.02.2021 12:00:19",-0.001,0.769999999999982,0.4375
0,"02.02.2021 12:00:23",-0.001,0.759999999999991,0.4375
0,"02.02.2021 12:00:27",0,0.730000000000018,0.4375
0,"02.02.2021 12:00:31",0,0.720000000000027,0.4375
0,"02.02.2021 12:00:35",0,0.699999999999989,0.4375
0,"02.02.2021 12:00:39",0,0.699999999999989,0.4375
0,"02.02.2021 12:00:43",0,0.680000000000007,0.375
0,"02.02.2021 12:00:47",-0.001,0.670000000000016,0.4375
0,"02.02.2021 12:00:51",-0.001,0.660000000000025,0.375
0,"02.02.2021 12:00:54",-0.001,0.639999999999986,0.375
0,"02.02.2021 12:00:58",-0.001,0.639999999999986,0.375
0,"02.02.2021 12:01:02",0,0.620000000000005,0.375
0,"02.02.2021 12:01:06",-0.001,0.610000000000014,0.375
