SetPoint [°C],Timestamp,Chamber temperature [°C],Reference temperature [°C],DUT temperature [°C]
0,"02.02.2021 15:23:44",26.1,26.23,26.315100871731
0,"02.02.2021 15:23:48",26.103,26.24,26.315100871731
0,"02.02.2021 15:23:52",26.087,26.24,26.315100871731
0,"02.02.2021 15:23:56",25.888,26.24,26.315100871731
0,"02.02.2021 15:23:59",25.682,26.23,26.2510485678705
0,"02.02.2021 15:24:03",25.273,26.2,26.18699626401
0,"02.02.2021 15:24:07",24.789,26.18,26.1229439601494
0,"02.02.2021 15:24:11",24.278,26.13,25.9948393524284
0,"02.02.2021 15:24:15",23.746,26.06,25.8026824408469
0,"02.02.2021 15:24:19",23.198,25.98,25.6105255292653
0,"02.02.2021 15:24:23",22.644,25.92,25.4183686176837
0,"02.02.2021 15:24:27",22.082,25.83,25.1621594022416
0,"02.02.2021 15:24:31",21.652,25.71,24.97000249066
0,"02.02.2021 15:24:35",21.087,25.6,24.6497409713574
0,"02.02.2021 15:24:39",20.519,25.48,24.3935317559153
0,"02.02.2021 15:24:43",19.952,25.39,24.1373225404732
0,"02.02.2021 15:24:46",19.384,25.24,23.8170610211706
0,"02.02.2021 15:24:50",18.817,25.09,23.496799501868
0,"02.02.2021 15:24:54",18.205,24.95,23.1765379825654
0,"02.02.2021 15:24:58",17.774,24.84,22.8562764632628
0,"02.02.2021 15:25:02",17.212,24.65,22.4719626400997
0,"02.02.2021 15:25:06",16.651,24.47,22.151701120797
0,"02.02.2021 15:25:10",16.092,24.29,21.7673872976339
0,"02.02.2021 15:25:14",15.535,24.14,21.3830734744707
0,"02.02.2021 15:25:18",14.988,23.93,20.9987596513076
0,"02.02.2021 15:25:22",14.45,23.72,20.6144458281445
0,"02.02.2021 15:25:26",13.905,23.49,20.2301320049813
0,"02.02.2021 15:25:30",13.357,23.27,19.8458181818182
0,"02.02.2021 15:25:33",12.813,23.09,19.4615043586551
0,"02.02.2021 15:25:37",12.272,22.87,19.0131382316314
0,"02.02.2021 15:25:41",11.735,22.6,18.6288244084682
0,"02.02.2021 15:25:45",11.202,22.35,18.1804582814446
0,"02.02.2021 15:25:49",10.795,22.08,17.7320921544209
0,"02.02.2021 15:25:53",10.213,21.89,17.3477783312578
0,"02.02.2021 15:25:57",9.688,21.61,16.8994122042341
0,"02.02.2021 15:26:01",9.167,21.34,16.515098381071
0,"02.02.2021 15:26:05",8.648,21.06,16.0667322540473
0,"02.02.2021 15:26:09",8.256,20.83,15.6183661270236
0,"02.02.2021 15:26:13",7.744,20.54,15.17
0,"02.02.2021 15:26:17",7.236,20.24,14.7852340425532
0,"02.02.2021 15:26:21",6.737,19.94,14.3363404255319
0,"02.02.2021 15:26:24",6.246,19.61,13.8874468085107
0,"02.02.2021 15:26:28",5.749,19.39,13.4385531914894
0,"02.02.2021 15:26:32",5.255,19.09,12.9896595744681
0,"02.02.2021 15:26:36",4.778,18.75,12.5407659574468
0,"02.02.2021 15:26:40",4.368,18.42,12.156
0,"02.02.2021 15:26:44",4.053,18.18,11.7071063829787
0,"02.02.2021 15:26:48",3.859,17.87,11.3223404255319
0,"02.02.2021 15:26:52",3.745,17.55,10.9375744680851
0,"02.02.2021 15:26:56",3.73,17.27,10.6169361702128
0,"02.02.2021 15:27:00",3.74,17,10.2962978723405
0,"02.02.2021 15:27:04",3.747,16.8,10.0397872340426
0,"02.02.2021 15:27:08",3.718,16.52,9.78327659574472
0,"02.02.2021 15:27:11",3.514,16.27,9.52676595744686
0,"02.02.2021 15:27:15",3.385,16,9.27025531914893
0,"02.02.2021 15:27:19",3.185,15.78,9.01374468085106
0,"02.02.2021 15:27:23",2.905,15.52,8.75723404255319
0,"02.02.2021 15:27:27",2.662,15.22,8.50072340425533
0,"02.02.2021 15:27:31",2.329,14.94,8.18008510638299
0,"02.02.2021 15:27:35",2.132,14.64,7.92357446808512
0,"02.02.2021 15:27:39",2.018,14.45,7.66706382978725
0,"02.02.2021 15:27:43",1.908,14.16,7.41055319148938
0,"02.02.2021 15:27:47",1.704,13.9,7.15404255319152
0,"02.02.2021 15:27:51",1.578,13.62,6.96165957446811
0,"02.02.2021 15:27:55",1.376,13.41,6.70514893617025
0,"02.02.2021 15:27:58",1.161,13.15,6.51276595744685
0,"02.02.2021 15:28:02",1.04,12.88,6.25625531914898
0,"02.02.2021 15:28:06",0.828,12.61,6.06387234042558
0,"02.02.2021 15:28:10",0.706,12.34,5.80736170212765
0,"02.02.2021 15:28:14",0.511,12.14,5.61497872340425
0,"02.02.2021 15:28:18",0.394,11.88,5.42259574468085
0,"02.02.2021 15:28:22",0.27,11.63,5.16608510638298
0,"02.02.2021 15:28:26",0.238,11.37,4.97370212765958
0,"02.02.2021 15:28:30",0.183,11.18,4.78131914893618
0,"02.02.2021 15:28:34",0.128,10.95,4.65306382978724
0,"02.02.2021 15:28:38",0.089,10.69,4.46068085106384
0,"02.02.2021 15:28:42",0.055,10.47,4.26829787234044
0,"02.02.2021 15:28:46",0.031,10.23,4.14004255319151
0,"02.02.2021 15:28:50",0.016,10.06,4.01178723404257
0,"02.02.2021 15:28:53",0.009,9.83999999999997,3.88353191489364
0,"02.02.2021 15:28:57",0.007,9.62,3.7552765957447
0,"02.02.2021 15:29:01",0.009,9.42000000000002,3.62702127659577
0,"02.02.2021 15:29:05",0.013,9.19999999999999,3.5628936170213
0,"02.02.2021 15:29:09",0.019,9.06999999999999,3.43463829787237
0,"02.02.2021 15:29:13",0.024,8.85000000000002,3.30638297872343
0,"02.02.2021 15:29:17",0.028,8.66000000000003,3.24225531914897
0,"02.02.2021 15:29:21",0.031,8.47000000000003,3.1781276595745
0,"02.02.2021 15:29:25",0.032,8.27999999999997,3.04987234042557
0,"02.02.2021 15:29:29",0.032,8.13999999999999,2.9857446808511
0,"02.02.2021 15:29:33",0.03,7.97000000000003,2.92161702127663
0,"02.02.2021 15:29:37",0.027,7.77999999999997,2.7933617021277
0,"02.02.2021 15:29:41",0.025,7.60000000000002,2.72923404255323
0,"02.02.2021 15:29:45",0.021,7.44999999999999,2.66510638297876
0,"02.02.2021 15:29:48",0.018,7.31,2.6009787234043
0,"02.02.2021 15:29:52",0.015,7.14999999999998,2.53685106382983
0,"02.02.2021 15:29:56",0.012,7,2.47272340425536
0,"02.02.2021 15:30:00",0.01,6.83999999999997,2.40859574468089
0,"02.02.2021 15:30:04",0.008,6.69,2.34446808510643
0,"02.02.2021 15:30:08",0.006,6.58999999999997,2.34446808510643
0,"02.02.2021 15:30:12",0.004,6.42000000000002,2.21621276595749
0,"02.02.2021 15:30:16",0.004,6.27999999999997,2.15208510638297
0,"02.02.2021 15:30:20",0.003,6.13,2.15208510638297
0,"02.02.2021 15:30:24",0.002,6.04000000000002,2.0879574468085
0,"02.02.2021 15:30:28",0.003,5.89999999999998,2.0879574468085
0,"02.02.2021 15:30:32",0.003,5.75999999999999,2.02382978723404
0,"02.02.2021 15:30:36",0.003,5.63,1.95970212765957
0,"02.02.2021 15:30:39",0.002,5.51999999999998,1.8955744680851
0,"02.02.2021 15:30:43",0.002,5.42000000000002,1.83144680851063
0,"02.02.2021 15:30:47",0.006,5.27999999999997,1.83144680851063
0,"02.02.2021 15:30:51",0.01,5.17000000000002,1.76731914893617
0,"02.02.2021 15:30:55",0.01,5.06,1.76731914893617
0,"02.02.2021 15:30:59",0.007,4.94,1.7031914893617
0,"02.02.2021 15:31:03",0.003,4.85000000000002,1.7031914893617
0,"02.02.2021 15:31:07",0,4.75,1.63906382978723
0,"02.02.2021 15:31:11",-0.003,4.63,1.57493617021277
0,"02.02.2021 15:31:15",-0.003,4.52999999999997,1.57493617021277
0,"02.02.2021 15:31:19",-0.004,4.43000000000001,1.5108085106383
0,"02.02.2021 15:31:23",-0.005,4.35000000000002,1.5108085106383
0,"02.02.2021 15:31:27",-0.005,4.25999999999999,1.44668085106383
0,"02.02.2021 15:31:31",-0.005,4.14999999999998,1.44668085106383
0,"02.02.2021 15:31:34",-0.004,4.06999999999999,1.44668085106383
0,"02.02.2021 15:31:38",-0.004,3.97000000000003,1.38255319148936
0,"02.02.2021 15:31:42",-0.003,3.89999999999998,1.3184255319149
0,"02.02.2021 15:31:46",-0.002,3.81,1.3184255319149
0,"02.02.2021 15:31:50",-0.002,3.72000000000003,1.3184255319149
0,"02.02.2021 15:31:54",-0.001,3.63999999999999,1.25429787234043
0,"02.02.2021 15:31:58",-0.001,3.58999999999997,1.25429787234043
0,"02.02.2021 15:32:02",-0.001,3.50999999999999,1.19017021276596
0,"02.02.2021 15:32:06",-0.001,3.41000000000003,1.19017021276596
0,"02.02.2021 15:32:10",-0.001,3.33999999999997,1.19017021276596
0,"02.02.2021 15:32:14",-0.001,3.25999999999999,1.1260425531915
0,"02.02.2021 15:32:18",-0.002,3.20999999999998,1.1260425531915
0,"02.02.2021 15:32:22",-0.002,3.13999999999999,1.06191489361703
0,"02.02.2021 15:32:25",-0.002,3.07999999999998,1.06191489361703
0,"02.02.2021 15:32:29",-0.002,3,1.06191489361703
0,"02.02.2021 15:32:33",-0.002,2.94999999999999,1.06191489361703
0,"02.02.2021 15:32:37",-0.002,2.88999999999999,0.997787234042562
0,"02.02.2021 15:32:41",-0.003,2.81999999999999,0.997787234042562
0,"02.02.2021 15:32:45",-0.003,2.75,0.997787234042562
0,"02.02.2021 15:32:49",-0.003,2.69,0.933659574468095
0,"02.02.2021 15:32:53",-0.003,2.63999999999999,0.933659574468095
0,"02.02.2021 15:32:57",-0.003,2.58999999999997,0.933659574468095
0,"02.02.2021 15:33:01",-0.002,2.52999999999997,0.933659574468095
0,"02.02.2021 15:33:05",-0.002,2.47000000000003,0.933659574468095
0,"02.02.2021 15:33:09",-0.002,2.42000000000002,0.869531914893628
0,"02.02.2021 15:33:12",-0.002,2.38,0.869531914893628
0,"02.02.2021 15:33:16",-0.002,2.32999999999998,0.805404255319161
0,"02.02.2021 15:33:20",-0.002,2.26999999999998,0.805404255319161
0,"02.02.2021 15:33:24",-0.002,2.22000000000003,0.805404255319161
0,"02.02.2021 15:33:28",-0.002,2.16000000000003,0.805404255319161
0,"02.02.2021 15:33:32",-0.002,2.12,0.805404255319161
0,"02.02.2021 15:33:36",-0.002,2.08999999999997,0.741276595744694
0,"02.02.2021 15:33:40",-0.002,2.04000000000002,0.741276595744694
0,"02.02.2021 15:33:44",-0.002,2,0.741276595744694
0,"02.02.2021 15:33:48",-0.002,1.94999999999999,0.741276595744694
0,"02.02.2021 15:33:52",-0.002,1.92000000000002,0.677148936170227
0,"02.02.2021 15:33:56",-0.002,1.87,0.677148936170227
0,"02.02.2021 15:34:00",-0.002,1.82999999999998,0.677148936170227
0,"02.02.2021 15:34:04",-0.002,1.79000000000002,0.677148936170227
0,"02.02.2021 15:34:07",-0.002,1.75,0.677148936170227
0,"02.02.2021 15:34:11",-0.002,1.72000000000003,0.677148936170227
0,"02.02.2021 15:34:15",-0.002,1.69,0.677148936170227
0,"02.02.2021 15:34:19",-0.002,1.64999999999998,0.613021276595759
0,"02.02.2021 15:34:23",-0.003,1.62,0.613021276595759
0,"02.02.2021 15:34:27",-0.002,1.60000000000002,0.613021276595759
0,"02.02.2021 15:34:31",-0.002,1.55000000000001,0.613021276595759
0,"02.02.2021 15:34:35",-0.002,1.50999999999999,0.613021276595759
0,"02.02.2021 15:34:39",-0.002,1.48000000000002,0.548893617021292
0,"02.02.2021 15:34:43",-0.002,1.44999999999999,0.548893617021292
0,"02.02.2021 15:34:47",-0.002,1.42000000000002,0.548893617021292
0,"02.02.2021 15:34:51",-0.002,1.38999999999999,0.548893617021292
0,"02.02.2021 15:34:55",-0.002,1.36000000000001,0.548893617021292
0,"02.02.2021 15:34:58",-0.002,1.32999999999998,0.548893617021292
0,"02.02.2021 15:35:02",-0.002,1.31,0.484765957446825
0,"02.02.2021 15:35:06",-0.002,1.27999999999997,0.484765957446825
0,"02.02.2021 15:35:10",-0.002,1.25999999999999,0.484765957446825
0,"02.02.2021 15:35:14",-0.002,1.23000000000002,0.484765957446825
0,"02.02.2021 15:35:18",-0.002,1.20999999999998,0.484765957446825
0,"02.02.2021 15:35:22",-0.002,1.18000000000001,0.484765957446825
0,"02.02.2021 15:35:26",-0.002,1.16000000000003,0.484765957446825
0,"02.02.2021 15:35:30",-0.002,1.13,0.484765957446825
0,"02.02.2021 15:35:34",-0.002,1.11000000000001,0.420638297872358
0,"02.02.2021 15:35:38",-0.002,1.08999999999997,0.420638297872358
0,"02.02.2021 15:35:42",-0.002,1.06999999999999,0.420638297872358
0,"02.02.2021 15:35:46",-0.002,1.05000000000001,0.484765957446825
0,"02.02.2021 15:35:49",-0.002,1.02999999999997,0.420638297872358
0,"02.02.2021 15:35:53",-0.002,1.00999999999999,0.420638297872358
0,"02.02.2021 15:35:57",-0.002,0.990000000000009,0.420638297872358
0,"02.02.2021 15:36:01",-0.001,0.970000000000027,0.420638297872358
0,"02.02.2021 15:36:05",-0.001,0.949999999999989,0.420638297872358
0,"02.02.2021 15:36:09",-0.002,0.920000000000016,0.420638297872358
0,"02.02.2021 15:36:13",-0.002,0.899999999999977,0.420638297872358
0,"02.02.2021 15:36:17",-0.002,0.889999999999986,0.420638297872358
0,"02.02.2021 15:36:21",-0.002,0.870000000000005,0.420638297872358
0,"02.02.2021 15:36:25",-0.002,0.850000000000023,0.356510638297891
