SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
20,04.02.2021 14:07:14,20.35,19.9375
20,04.02.2021 14:07:14,20.35,19.9375
20,04.02.2021 14:07:18,20.35,19.875
20,04.02.2021 14:07:18,20.35,19.875
20,04.02.2021 14:07:22,20.35,19.9375
20,04.02.2021 14:07:22,20.35,19.9375
20,04.02.2021 14:07:26,20.35,19.9375
40,04.02.2021 14:45:22,39.82,39.1875
40,04.02.2021 14:45:26,39.82,39.25
40,04.02.2021 14:45:26,39.82,39.25
40,04.02.2021 14:45:30,39.82,39.25
40,04.02.2021 14:45:30,39.82,39.25
40,04.02.2021 14:45:34,39.82,39.1875
40,04.02.2021 14:45:34,39.82,39.1875
