SetPoint [°C],Timestamp,Chamber temperature [°C],Reference temperature [°C],DUT temperature [°C], Ref. 2 temperature [°C], Ambiente temperature [°C]
20,"04.02.2021 13:33:19",25.729,34.24,33.9375,42.97,23.46
20,"04.02.2021 13:33:22",25.727,34.14,33.875,42.62,23.46
20,"04.02.2021 13:33:26",25.614,34.07,33.8125,42.32,23.46
20,"04.02.2021 13:33:30",25.423,33.95,33.75,41.98,23.45
20,"04.02.2021 13:33:34",25.102,33.87,33.6875,41.69,23.43
20,"04.02.2021 13:33:38",24.668,33.81,33.625,41.36,23.43
20,"04.02.2021 13:33:42",24.163,33.69,33.5625,41.08,23.46
20,"04.02.2021 13:33:46",23.641,33.63,33.4375,40.75,23.46
20,"04.02.2021 13:33:50",23.112,33.52,33.375,40.43,23.46
20,"04.02.2021 13:33:54",22.569,33.42,33.25,40.17,23.46
20,"04.02.2021 13:33:58",22.083,33.35,33.1875,39.85,23.46
20,"04.02.2021 13:34:02",21.689,33.25,33.125,39.59,23.46
20,"04.02.2021 13:34:06",21.446,33.16,33,39.28,23.46
20,"04.02.2021 13:34:09",21.249,33.05,32.9375,39.02,23.46
20,"04.02.2021 13:34:13",21.142,32.96,32.8125,38.71,23.47
20,"04.02.2021 13:34:17",21.155,32.86,32.75,38.36,23.48
20,"04.02.2021 13:34:21",21.439,32.74,32.625,38.16,23.48
20,"04.02.2021 13:34:25",21.495,32.65,32.5625,37.82,23.48
20,"04.02.2021 13:34:29",21.532,32.53,32.4375,37.64,23.5
20,"04.02.2021 13:34:33",21.518,32.44,32.3125,37.37,23.49
20,"04.02.2021 13:34:37",21.393,32.34,32.1875,37.07,23.49
20,"04.02.2021 13:34:41",21.196,32.23,32.0625,36.89,23.49
20,"04.02.2021 13:34:45",21.082,32.12,32,36.59,23.49
20,"04.02.2021 13:34:49",20.89,32.01,31.8125,36.42,23.48
20,"04.02.2021 13:34:53",20.771,31.91,31.6875,36.13,23.48
20,"04.02.2021 13:34:57",20.573,31.8,31.625,35.96,23.48
20,"04.02.2021 13:35:01",20.46,31.71,31.5,35.68,23.47
20,"04.02.2021 13:35:04",20.348,31.58,31.375,35.51,23.48
20,"04.02.2021 13:35:08",20.224,31.49,31.25,35.23,23.47
20,"04.02.2021 13:35:12",20.197,31.37,31.125,34.99,23.46
20,"04.02.2021 13:35:16",20.153,31.28,31,34.8,23.46
20,"04.02.2021 13:35:20",20.113,31.16,30.875,34.56,23.47
20,"04.02.2021 13:35:24",20.083,31.02,30.75,34.37,23.47
20,"04.02.2021 13:35:28",20.063,30.95,30.6875,34.14,23.47
20,"04.02.2021 13:35:32",20.056,30.83,30.5,33.91,23.48
20,"04.02.2021 13:35:36",20.056,30.74,30.4375,33.73,23.48
20,"04.02.2021 13:35:40",20.056,30.61,30.3125,33.5,23.48
20,"04.02.2021 13:35:44",20.056,30.49,30.1875,33.32,23.48
20,"04.02.2021 13:35:48",20.055,30.4,30,33.1,23.46
20,"04.02.2021 13:35:52",20.053,30.29,29.9375,32.92,23.46
20,"04.02.2021 13:35:55",20.05,30.19,29.8125,32.71,23.46
20,"04.02.2021 13:35:59",20.046,30.07,29.6875,32.5,23.47
20,"04.02.2021 13:36:03",20.041,29.98,29.5625,32.33,23.47
20,"04.02.2021 13:36:07",20.036,29.87,29.4375,32.13,23.46
20,"04.02.2021 13:36:11",20.03,29.77,29.3125,31.96,23.46
20,"04.02.2021 13:36:15",20.025,29.67,29.1875,31.78,23.46
20,"04.02.2021 13:36:19",20.021,29.55,29.0625,31.63,23.46
20,"04.02.2021 13:36:23",20.017,29.47,29,31.45,23.46
20,"04.02.2021 13:36:27",20.015,29.37,28.8125,31.24,23.46
20,"04.02.2021 13:36:31",20.012,29.27,28.75,31.13,23.46
20,"04.02.2021 13:36:35",20.011,29.17,28.625,30.93,23.46
20,"04.02.2021 13:36:39",20.009,29.06,28.5,30.82,23.46
20,"04.02.2021 13:36:43",20.009,28.97,28.4375,30.62,23.43
20,"04.02.2021 13:36:46",20.008,28.87,28.3125,30.51,23.43
20,"04.02.2021 13:36:50",20.007,28.79,28.1875,30.32,23.42
20,"04.02.2021 13:36:54",20.007,28.68,28.125,30.16,23.42
20,"04.02.2021 13:36:58",20.006,28.6,28,30.03,23.42
20,"04.02.2021 13:37:02",20.006,28.5,27.875,29.88,23.42
20,"04.02.2021 13:37:06",20.005,28.38,27.8125,29.75,23.42
20,"04.02.2021 13:37:10",20.005,28.31,27.6875,29.6,23.41
20,"04.02.2021 13:37:14",20.004,28.2,27.5625,29.47,23.42
20,"04.02.2021 13:37:18",20.003,28.14,27.5,29.33,23.41
20,"04.02.2021 13:37:22",20.003,28.04,27.375,29.18,23.42
20,"04.02.2021 13:37:26",20.002,27.97,27.3125,29.06,23.41
20,"04.02.2021 13:37:30",20.002,27.88,27.1875,28.93,23.42
20,"04.02.2021 13:37:34",20.001,27.76,27.125,28.81,23.42
20,"04.02.2021 13:37:37",20.001,27.7,27,28.67,23.42
20,"04.02.2021 13:37:41",20.001,27.6,26.875,28.56,23.41
