SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
20,04.02.2021 15:26:51,20.36,19.9375
20,04.02.2021 15:26:55,20.36,19.9375
20,04.02.2021 15:26:55,20.36,19.9375
20,04.02.2021 15:26:59,20.36,19.9375
20,04.02.2021 15:26:59,20.36,19.9375
20,04.02.2021 15:27:03,20.36,19.9375
20,04.02.2021 15:27:03,20.36,19.9375
40,04.02.2021 16:01:17,39.77,39.1875
40,04.02.2021 16:01:17,39.77,39.1875
40,04.02.2021 16:01:21,39.77,39.1875
40,04.02.2021 16:01:21,39.77,39.1875
40,04.02.2021 16:01:25,39.77,39.1875
40,04.02.2021 16:01:25,39.77,39.1875
40,04.02.2021 16:01:29,39.77,39.125
